,TrialType,IsCorrect
0,Rand,False
1,Psychometric,False
2,Rand,True
3,Psychometric,False
4,Psychometric,True
5,Rand,True
6,Psychometric,True
7,Psychometric,True
8,Rand,False
9,Psychometric,True
10,Psychometric,False
11,Rand,True
12,Rand,True
13,Rand,False
14,Rand,True
15,Rand,True
16,Psychometric,False
17,Rand,True
18,Psychometric,True
19,Rand,True
20,Rand,False
21,Psychometric,True
22,Psychometric,False
23,Psychometric,False
24,Rand,False
25,Rand,True
26,Rand,True
27,Rand,True
28,Rand,False
29,Rand,True
30,Rand,True
31,Rand,True
32,Rand,False
33,Rand,False
34,Rand,True
35,Rand,True
36,Rand,True
37,Rand,True
38,Rand,True
39,Psychometric,False
40,Psychometric,True
41,Psychometric,False
42,Psychometric,True
43,Psychometric,True
44,Rand,True
45,Rand,True
46,Rand,True
47,Rand,False
48,Psychometric,False
49,Rand,True
50,Rand,True
51,Rand,True
52,Rand,True
53,Psychometric,False
54,Rand,True
55,Psychometric,True
56,Rand,True
57,Psychometric,False
58,Rand,True
59,Rand,False
60,Rand,True
61,Rand,True
62,Rand,True
63,Psychometric,False
64,Psychometric,True
65,Psychometric,True
66,Psychometric,True
67,Rand,True
68,Rand,False
69,Psychometric,False
70,Rand,True
71,Psychometric,False
72,Rand,True
73,Psychometric,True
74,Psychometric,True
75,Rand,True
76,Rand,True
77,Rand,True
78,Psychometric,True
79,Psychometric,False
80,Rand,True
81,Rand,True
82,Psychometric,False
83,Psychometric,True
84,Rand,True
85,Psychometric,False
86,Psychometric,True
87,Rand,True
88,Psychometric,False
89,Rand,True
90,Rand,True
91,Psychometric,True
92,Rand,True
93,Rand,True
94,Psychometric,True
95,Rand,True
96,Rand,True
97,Rand,True
98,Rand,True
99,Psychometric,False
100,Rand,True
101,Rand,True
102,Psychometric,True
103,Rand,True
104,Psychometric,True
105,Rand,False
106,Rand,False
107,Psychometric,True
108,Rand,True
109,Rand,True
110,Rand,True
111,Psychometric,True
112,Rand,True
113,Psychometric,False
114,Rand,True
115,Rand,True
116,Psychometric,False
117,Rand,True
118,Psychometric,False
119,Psychometric,False
120,Psychometric,True
121,Rand,True
122,Rand,True
123,Psychometric,False
124,Psychometric,False
125,Rand,True
126,Rand,True
127,Rand,True
128,Psychometric,False
129,Rand,True
130,Rand,True
131,Rand,True
132,Rand,True
133,Rand,True
134,Psychometric,True
135,Rand,True
136,Psychometric,True
137,Rand,True
138,Rand,True
139,Rand,False
140,Rand,True
141,Rand,True
142,Rand,True
143,Psychometric,False
144,Rand,False
145,Psychometric,True
146,Rand,True
147,Rand,True
148,Rand,False
149,Rand,True
150,Psychometric,True
151,Psychometric,True
152,Rand,False
153,Psychometric,False
154,Psychometric,True
155,Rand,True
156,Rand,False
157,Psychometric,True
158,Rand,True
159,Psychometric,True
160,Rand,True
161,Psychometric,True
162,Psychometric,False
163,Psychometric,False
164,Rand,True
165,Rand,False
166,Rand,True
167,Rand,False
168,Psychometric,True
169,Rand,True
170,Psychometric,False
171,Psychometric,True
172,Rand,False
173,Rand,False
174,Rand,False
175,Rand,True
176,Psychometric,False
177,Psychometric,False
178,Rand,True
179,Rand,True
180,Rand,False
181,Rand,True
182,Rand,True
183,Rand,False
184,Rand,True
185,Psychometric,True
186,Rand,True
187,Psychometric,True
188,Rand,False
189,Rand,False
190,Rand,True
191,Rand,False
192,Rand,False
193,Rand,False
194,Psychometric,True
195,Psychometric,True
196,Rand,True
197,Psychometric,False
198,Rand,False
199,Rand,False
200,Psychometric,True
201,Rand,True
202,Rand,False
203,Rand,False
204,Psychometric,True
205,Rand,True
206,Rand,True
207,Psychometric,False
208,Rand,True
209,Rand,False
210,Rand,True
211,Rand,True
212,Rand,False
213,Rand,True
214,Psychometric,False
215,Psychometric,True
216,Psychometric,False
217,Rand,True
218,Rand,True
219,Rand,True
220,Rand,True
221,Rand,False
222,Psychometric,False
223,Rand,False
224,Psychometric,False
225,Rand,True
226,Rand,False
227,Psychometric,False
228,Rand,True
229,Rand,True
230,Rand,True
231,Rand,True
232,Psychometric,False
233,Psychometric,False
234,Psychometric,False
235,Psychometric,True
236,Psychometric,True
237,Rand,False
238,Rand,True
239,Rand,False
240,Rand,False
241,Psychometric,True
242,Rand,True
243,Psychometric,True
244,Psychometric,True
245,Rand,True
246,Rand,False
247,Psychometric,False
248,Psychometric,False
249,Rand,True
250,Rand,False
251,Rand,True
252,Psychometric,False
253,Psychometric,False
254,Psychometric,False
255,Rand,False
256,Rand,False
257,Rand,True
258,Rand,True
259,Rand,True
260,Rand,True
261,Rand,True
262,Rand,False
263,Psychometric,False
264,Psychometric,False
265,Rand,True
266,Rand,False
267,Psychometric,False
268,Rand,True
269,Rand,False
270,Psychometric,True
271,Rand,False
272,Psychometric,True
273,Psychometric,False
274,Rand,True
275,Psychometric,True
276,Rand,True
277,Rand,True
278,Rand,True
279,Rand,False
280,Rand,False
281,Psychometric,False
282,Psychometric,False
283,Rand,False
284,Psychometric,False
285,Rand,False
286,Psychometric,True
287,Psychometric,True
288,Rand,False
289,Rand,False
290,Rand,False
291,Rand,True
292,Psychometric,True
293,Psychometric,True
294,Rand,True
295,Rand,True
296,Psychometric,True
297,Psychometric,True
298,Psychometric,False
299,Rand,False
300,Rand,False
301,Psychometric,True
302,Rand,False
303,Psychometric,False
304,Rand,False
305,Rand,True
306,Psychometric,True
307,Psychometric,False
308,Rand,False
309,Rand,True
310,Psychometric,False
311,Psychometric,True
312,Rand,True
313,Psychometric,False
314,Rand,True
315,Psychometric,False
316,Psychometric,True
317,Psychometric,True
318,Rand,False
319,Rand,True
320,Psychometric,False
321,Rand,True
322,Psychometric,True
323,Rand,True
324,Psychometric,True
325,Psychometric,True
326,Rand,True
327,Rand,False
328,Rand,False
329,Rand,False
330,Psychometric,True
331,Psychometric,False
332,Psychometric,True
333,Rand,True
334,Psychometric,False
335,Rand,True
336,Rand,True
337,Rand,True
338,Rand,False
339,Psychometric,True
340,Rand,True
341,Rand,False
342,Psychometric,True
343,Rand,False
344,Psychometric,False
345,Psychometric,True
346,Psychometric,False
347,Rand,False
348,Psychometric,True
349,Rand,True
350,Psychometric,True
351,Psychometric,False
352,Rand,True
353,Psychometric,False
354,Psychometric,True
355,Psychometric,False
356,Rand,False
357,Rand,True
358,Psychometric,False
359,Psychometric,True
360,Psychometric,False
361,Rand,False
362,Psychometric,True
363,Psychometric,True
364,Psychometric,True
365,Rand,False
366,Rand,True
367,Psychometric,False
368,Rand,True
369,Rand,False
370,Rand,True
371,Rand,True
372,Rand,False
373,Rand,False
374,Rand,True
375,Rand,True
376,Rand,False
377,Rand,True
378,Rand,True
379,Rand,True
380,Rand,False
381,Rand,True
382,Rand,False
383,Rand,True
384,Rand,True
385,Rand,False
386,Rand,True
387,Rand,True
388,Rand,False
389,Rand,False
390,Rand,False
391,Rand,True
392,Rand,True
393,Rand,False
394,Rand,False
395,Rand,True
396,Rand,True
397,Rand,False
398,Rand,False
399,Rand,True
400,Rand,True
401,Rand,False
402,Rand,True
403,Rand,True
404,Rand,False
405,Rand,False
406,Rand,True
407,Rand,True
408,Rand,True
409,Rand,False
410,Rand,True
411,Rand,True
412,Rand,True
413,Rand,True
414,Rand,False
415,Rand,True
416,Rand,False
417,Rand,True
418,Rand,False
419,Rand,False
420,Rand,True
421,Rand,True
422,Rand,False
423,Rand,False
424,Rand,True
425,Rand,True
426,Rand,True
427,Rand,False
428,Rand,True
429,Rand,True
430,Rand,True
431,Rand,False
432,Rand,True
433,Rand,True
434,Rand,True
435,Rand,False
436,Rand,True
437,Rand,False
438,Rand,False
439,Rand,False
440,Rand,False
441,Rand,False
442,Rand,False
443,Rand,True
444,Rand,False
445,Rand,False
446,Rand,False
447,Rand,True
448,Rand,True
449,Rand,False
450,Rand,False
451,Rand,True
452,Rand,False
453,Rand,False
454,Rand,True
455,Rand,True
456,Rand,False
457,Rand,False
458,Rand,False
459,Rand,False
460,Rand,False
461,Rand,False
462,Rand,True
463,Rand,False
464,Rand,False
465,Rand,False
466,Rand,False
467,Rand,False
468,Rand,True
469,Rand,True
470,Rand,True
471,Rand,False
472,Rand,False
473,Rand,False
474,Rand,False
475,Rand,True
476,Rand,True
477,Rand,True
478,Rand,True
479,Rand,True
480,Rand,True
481,Rand,True
482,Rand,True
483,Rand,True
484,Rand,True
485,Rand,True
486,Rand,True
487,Rand,True
488,Rand,False
489,Rand,True
490,Rand,True
491,Rand,True
492,Rand,False
493,Rand,False
494,Rand,True
495,Rand,True
496,Rand,False
497,Rand,True
498,Rand,True
499,Rand,True
500,Rand,True
501,Rand,True
502,Rand,True
503,Rand,False
504,Rand,True
505,Rand,True
506,Rand,True
507,Rand,False
508,Rand,True
509,Rand,False
510,Rand,True
511,Rand,True
512,Rand,True
513,Rand,True
514,Rand,True
515,Rand,True
516,Rand,False
517,Rand,True
518,Rand,True
519,Rand,True
520,Rand,False
521,Rand,True
522,Rand,True
523,Rand,True
524,Rand,False
525,Rand,False
526,Rand,True
527,Rand,True
528,Rand,True
529,Rand,False
530,Rand,True
531,Rand,True
532,Rand,True
533,Rand,False
534,Rand,True
535,Rand,True
536,Rand,True
537,Rand,True
538,Rand,True
539,Rand,False
540,Psychometric,True
541,Rand,True
542,Psychometric,True
543,Psychometric,True
544,Rand,True
545,Rand,True
546,Rand,True
547,Rand,True
548,Rand,True
549,Rand,True
550,Rand,True
551,Psychometric,True
552,Rand,True
553,Rand,True
554,Psychometric,True
555,Rand,True
556,Rand,True
557,Psychometric,True
558,Psychometric,True
559,Rand,True
560,Rand,True
561,Psychometric,True
562,Rand,True
563,Rand,False
564,Rand,True
565,Rand,True
566,Rand,True
567,Rand,True
568,Psychometric,True
569,Psychometric,True
570,Rand,True
571,Psychometric,True
572,Psychometric,True
573,Psychometric,True
574,Rand,False
575,Psychometric,False
576,Rand,True
577,Rand,True
578,Rand,True
579,Rand,True
580,Rand,True
581,Psychometric,False
582,Psychometric,True
583,Psychometric,False
584,Psychometric,True
585,Psychometric,False
586,Rand,True
587,Rand,False
588,Psychometric,False
589,Psychometric,True
590,Psychometric,True
591,Psychometric,True
592,Psychometric,True
593,Rand,True
594,Psychometric,True
595,Psychometric,True
596,Rand,True
597,Psychometric,False
598,Rand,False
599,Rand,True
600,Psychometric,True
601,Psychometric,False
602,Rand,False
603,Psychometric,True
604,Rand,False
605,Rand,True
606,Psychometric,True
607,Psychometric,False
608,Rand,True
609,Rand,True
610,Rand,True
611,Rand,False
612,Psychometric,True
613,Rand,True
614,Psychometric,True
615,Rand,True
616,Rand,False
617,Rand,True
618,Psychometric,False
619,Rand,True
620,Rand,True
621,Psychometric,True
622,Rand,True
623,Rand,True
624,Rand,False
625,Rand,False
626,Psychometric,False
627,Psychometric,True
628,Rand,True
629,Rand,True
630,Psychometric,False
631,Rand,True
632,Rand,True
633,Rand,True
634,Rand,True
635,Rand,True
636,Psychometric,True
637,Rand,True
638,Rand,True
639,Rand,True
640,Rand,False
641,Rand,True
642,Psychometric,True
643,Psychometric,True
644,Psychometric,True
645,Psychometric,False
646,Psychometric,True
647,Rand,True
648,Psychometric,False
649,Rand,True
650,Psychometric,True
651,Psychometric,True
652,Rand,False
653,Rand,True
654,Rand,True
655,Rand,False
656,Rand,True
657,Rand,True
658,Psychometric,True
659,Rand,True
660,Psychometric,True
661,Psychometric,False
662,Rand,True
663,Rand,True
664,Rand,True
665,Rand,False
666,Psychometric,True
667,Rand,False
668,Rand,True
669,Psychometric,True
670,Rand,True
671,Rand,True
672,Psychometric,True
673,Psychometric,True
674,Psychometric,True
675,Psychometric,True
676,Rand,True
677,Psychometric,True
678,Psychometric,True
679,Rand,True
680,Psychometric,True
681,Rand,True
682,Rand,True
683,Rand,True
684,Psychometric,False
685,Rand,False
686,Psychometric,True
687,Psychometric,True
688,Psychometric,False
689,Rand,True
690,Rand,False
691,Rand,True
692,Rand,True
693,Rand,True
694,Psychometric,False
695,Rand,True
696,Rand,True
697,Rand,False
698,Rand,True
699,Rand,False
700,Psychometric,False
701,Rand,False
702,Rand,True
703,Rand,True
704,Rand,True
705,Psychometric,False
706,Rand,True
707,Rand,True
708,Rand,True
709,Psychometric,True
710,Psychometric,False
711,Psychometric,True
712,Psychometric,True
713,Psychometric,False
714,Rand,False
715,Psychometric,True
716,Psychometric,True
717,Rand,False
718,Rand,False
719,Rand,True
720,Psychometric,True
721,Rand,True
722,Psychometric,True
723,Rand,True
724,Psychometric,True
725,Rand,True
726,Rand,False
727,Rand,True
728,Rand,True
729,Psychometric,True
730,Rand,False
731,Rand,False
732,Psychometric,True
733,Rand,True
734,Rand,True
735,Rand,False
736,Rand,True
737,Rand,True
738,Psychometric,True
739,Psychometric,True
740,Psychometric,True
741,Psychometric,False
742,Rand,True
743,Rand,True
744,Psychometric,True
745,Psychometric,True
746,Rand,True
747,Rand,True
748,Rand,True
749,Rand,True
750,Psychometric,True
751,Psychometric,False
752,Rand,False
753,Psychometric,True
754,Rand,True
755,Psychometric,True
756,Rand,True
757,Psychometric,True
758,Rand,True
759,Psychometric,True
760,Rand,True
761,Psychometric,True
762,Psychometric,True
763,Psychometric,False
764,Rand,True
765,Rand,True
766,Psychometric,True
767,Rand,False
768,Rand,False
769,Psychometric,True
770,Rand,True
771,Psychometric,True
772,Rand,False
773,Rand,True
774,Rand,True
775,Psychometric,False
776,Rand,True
777,Psychometric,True
778,Rand,True
779,Rand,False
780,Rand,True
781,Psychometric,True
782,Rand,True
783,Psychometric,True
784,Rand,True
785,Psychometric,True
786,Rand,True
787,Psychometric,True
788,Psychometric,False
789,Rand,True
790,Rand,True
791,Psychometric,False
792,Rand,True
793,Rand,True
794,Psychometric,False
795,Psychometric,False
796,Rand,True
797,Rand,True
798,Rand,True
799,Psychometric,True
800,Psychometric,False
801,Psychometric,True
802,Psychometric,True
803,Rand,True
804,Psychometric,True
805,Rand,True
806,Rand,True
807,Rand,True
808,Psychometric,False
809,Psychometric,True
810,Psychometric,False
811,Rand,True
812,Rand,True
813,Rand,False
814,Rand,True
815,Rand,True
816,Psychometric,True
817,Psychometric,False
818,Rand,True
819,Psychometric,True
820,Rand,True
821,Psychometric,False
822,Psychometric,True
823,Rand,True
824,Rand,True
825,Rand,True
826,Rand,True
827,Rand,True
828,Rand,True
829,Rand,True
830,Rand,False
831,Psychometric,True
832,Psychometric,True
833,Psychometric,True
834,Rand,True
835,Rand,True
836,Rand,False
837,Rand,False
838,Rand,True
839,Rand,True
840,Psychometric,True
841,Rand,False
842,Rand,True
843,Psychometric,False
844,Psychometric,False
845,Psychometric,True
846,Rand,True
847,Psychometric,False
848,Rand,True
849,Rand,True
850,Psychometric,True
851,Psychometric,False
852,Rand,True
853,Rand,False
854,Psychometric,True
855,Rand,True
856,Psychometric,True
857,Rand,True
858,Psychometric,True
859,Psychometric,True
860,Psychometric,True
861,Psychometric,True
862,Rand,True
863,Rand,False
864,Rand,True
865,Rand,False
866,Psychometric,True
867,Rand,True
868,Rand,False
869,Rand,False
870,Psychometric,False
871,Psychometric,True
872,Psychometric,True
873,Psychometric,True
874,Rand,True
875,Psychometric,True
876,Rand,True
877,Rand,True
878,Rand,True
879,Rand,True
880,Rand,False
881,Psychometric,True
882,Rand,False
883,Psychometric,True
884,Psychometric,True
885,Psychometric,True
886,Rand,True
887,Psychometric,True
888,Rand,True
889,Rand,True
890,Psychometric,True
891,Rand,True
892,Psychometric,True
893,Psychometric,False
894,Rand,True
895,Rand,True
896,Rand,True
897,Psychometric,False
898,Psychometric,False
899,Rand,True
900,Rand,False
901,Psychometric,False
902,Psychometric,False
903,Psychometric,True
904,Psychometric,False
905,Rand,True
906,Psychometric,True
907,Rand,True
908,Rand,True
909,Rand,True
910,Rand,True
911,Psychometric,True
912,Psychometric,True
913,Psychometric,False
914,Psychometric,True
915,Rand,True
916,Rand,True
917,Psychometric,False
918,Rand,True
919,Psychometric,True
920,Psychometric,True
921,Rand,True
922,Rand,True
923,Rand,False
924,Psychometric,False
925,Rand,True
926,Psychometric,True
927,Psychometric,False
928,Rand,True
929,Psychometric,False
930,Rand,True
931,Psychometric,True
932,Rand,True
933,Rand,True
934,Rand,True
935,Psychometric,True
936,Psychometric,False
937,Rand,True
938,Psychometric,True
939,Rand,True
940,Psychometric,False
941,Rand,False
942,Rand,True
943,Psychometric,True
944,Psychometric,True
945,Psychometric,False
946,Psychometric,False
947,Rand,False
948,Psychometric,True
949,Psychometric,False
950,Psychometric,True
951,Rand,True
952,Rand,True
953,Psychometric,False
954,Rand,True
955,Rand,True
956,Rand,True
957,Rand,True
958,Psychometric,True
959,Psychometric,True
960,Rand,True
961,Rand,True
962,Rand,True
963,Psychometric,True
964,Rand,True
965,Psychometric,False
966,Rand,True
967,Rand,True
968,Psychometric,True
969,Rand,True
970,Rand,True
971,Psychometric,False
972,Rand,True
973,Psychometric,True
974,Psychometric,True
975,Rand,True
976,Rand,False
977,Psychometric,True
978,Rand,True
979,Psychometric,True
980,Rand,True
981,Rand,True
982,Psychometric,False
983,Psychometric,False
984,Rand,True
985,Rand,True
986,Psychometric,True
987,Psychometric,True
988,Psychometric,True
989,Rand,True
990,Psychometric,False
991,Rand,True
992,Rand,True
993,Psychometric,False
994,Rand,True
995,Rand,True
996,Psychometric,False
997,Psychometric,False
998,Psychometric,True
999,Rand,True
1000,Rand,True
1001,Rand,True
1002,Psychometric,False
1003,Rand,False
1004,Rand,True
1005,Rand,True
1006,Psychometric,True
1007,Psychometric,False
1008,Rand,True
1009,Rand,True
1010,Rand,True
1011,Rand,True
1012,Psychometric,True
1013,Rand,True
1014,Rand,False
1015,Psychometric,False
1016,Rand,True
1017,Psychometric,True
1018,Psychometric,False
1019,Psychometric,True
1020,Rand,True
1021,Psychometric,True
1022,Rand,False
1023,Rand,True
1024,Rand,True
1025,Psychometric,True
1026,Rand,False
1027,Rand,False
1028,Psychometric,True
1029,Rand,True
1030,Rand,True
1031,Rand,True
